longitude,latitude,value
147.849221,45.21669983,2
147.90312,45.21669983,6
148.2085472,45.21669983,5
141.1388059,45.20771667,4
141.2555869,45.20771667,5
141.5789804,45.20771667,5
141.8844076,45.20771667,5
142.2078011,45.20771667,6
147.7683727,45.20771667,3
148.0558336,45.20771667,5
141.1388059,45.19873352,4
141.5789804,45.19873352,5
141.8844076,45.19873352,5
142.2078011,45.19873352,6
147.73244,45.19873352,5
147.7504064,45.19873352,3
148.0558336,45.19873352,5
141.1298227,45.18975037,2
141.2555869,45.18975037,4
141.5789804,45.18975037,5
141.8844076,45.18975037,5
142.2078011,45.18975037,6
147.7414232,45.18975037,5
147.90312,45.18975037,6
148.2085472,45.18975037,5
141.1298227,45.18076721,3
141.2555869,45.18076721,3
141.5879635,45.18076721,6
141.731694,45.18076721,5
142.0550875,45.18076721,6
147.73244,45.18076721,4
147.7504064,45.18076721,6
148.0558336,45.18076721,4
148.2624461,45.18076721,2
141.1388059,45.17178406,5
141.2555869,45.17178406,4
141.5879635,45.17178406,6
141.731694,45.17178406,5
142.0550875,45.17178406,6
147.7054906,45.17178406,2
147.90312,45.17178406,5
148.2085472,45.17178406,5
141.1388059,45.16280091,4
141.2555869,45.16280091,4
141.5879635,45.16280091,5
141.731694,45.16280091,5
142.0550875,45.16280091,6
142.3605147,45.16280091,5
147.7144737,45.16280091,5
147.7504064,45.16280091,5
148.0558336,45.16280091,4
141.147789,45.15381776,5
141.5879635,45.15381776,5
141.731694,45.15381776,5
142.0550875,45.15381776,6
142.3605147,45.15381776,5
147.7054906,45.15381776,5
147.90312,45.15381776,5
141.1567722,45.1448346,6
141.5879635,45.1448346,4
141.731694,45.1448346,5
142.0550875,45.1448346,6
142.3605147,45.1448346,5
147.6965074,45.1448346,4
147.7504064,45.1448346,5
148.0558336,45.1448346,4
141.1657553,45.13585145,5
141.2555869,45.13585145,6
141.5969467,45.13585145,5
141.8844076,45.13585145,6
142.2078011,45.13585145,6
147.6875243,45.13585145,4
147.90312,45.13585145,5
141.1747385,45.1268683,6
141.6059298,45.1268683,6
141.731694,45.1268683,5
142.0550875,45.1268683,6
142.3605147,45.1268683,5
147.6965074,45.1268683,5
147.7504064,45.1268683,5
148.0558336,45.1268683,4
141.1927048,45.11788514,5
141.6059298,45.11788514,5
141.731694,45.11788514,5
142.0550875,45.11788514,6
142.3605147,45.11788514,4
147.5168444,45.11788514,1
147.7054906,45.11788514,6
147.90312,45.11788514,5
141.2106711,45.10890199,5
141.2555869,45.10890199,6
141.6238961,45.10890199,6
141.731694,45.10890199,5
142.0550875,45.10890199,6
142.3605147,45.10890199,5
147.4988781,45.10890199,3
147.7054906,45.10890199,6
147.90312,45.10890199,5
141.2466037,45.09991884,1
141.6328793,45.09991884,4
141.8844076,45.09991884,5
142.2078011,45.09991884,6
147.5258275,45.09991884,4
147.6875243,45.09991884,2
147.90312,45.09991884,5
141.6238961,45.09093569,4
141.8844076,45.09093569,5
142.2078011,45.09093569,6
147.5258275,45.09093569,4
147.5797265,45.09093569,5
147.669558,45.09093569,2
147.90312,45.09093569,5
141.6328793,45.08195253,3
141.8844076,45.08195253,6
142.2078011,45.08195253,6
147.5348107,45.08195253,4
147.6515917,45.08195253,2
147.90312,45.08195253,5
141.6328793,45.07296938,3
141.731694,45.07296938,5
142.0550875,45.07296938,6
142.3605147,45.07296938,5
147.5348107,45.07296938,3
147.7504064,45.07296938,6
148.0558336,45.07296938,5
141.6418624,45.06398623,5
141.731694,45.06398623,5
142.0550875,45.06398623,6
142.3605147,45.06398623,5
147.5258275,45.06398623,4
147.5797265,45.06398623,5
147.90312,45.06398623,5
141.6508456,45.05500308,4
141.8844076,45.05500308,5
142.2078011,45.05500308,6
147.5168444,45.05500308,5
147.7504064,45.05500308,6
141.6508456,45.04601992,4
141.731694,45.04601992,5
142.0550875,45.04601992,6
142.3605147,45.04601992,6
147.5258275,45.04601992,5
147.5797265,45.04601992,5
147.90312,45.04601992,4
141.6598287,45.03703677,5
141.8844076,45.03703677,6
142.2078011,45.03703677,6
147.5078612,45.03703677,4
147.5797265,45.03703677,5
147.90312,45.03703677,4
141.6598287,45.02805362,5
141.731694,45.02805362,5
142.0550875,45.02805362,6
142.3605147,45.02805362,6
147.5078612,45.02805362,4
147.5797265,45.02805362,5
147.90312,45.02805362,4
141.6688119,45.01907046,4
141.8844076,45.01907046,6
142.2078011,45.01907046,6
142.5311946,45.01907046,4
147.5168444,45.01907046,5
147.7504064,45.01907046,5
141.6688119,45.01008731,4
141.8844076,45.01008731,6
142.2078011,45.01008731,6
142.5311946,45.01008731,3
147.5258275,45.01008731,5
147.5797265,45.01008731,5
147.90312,45.01008731,4
141.677795,45.00110416,5
141.8844076,45.00110416,5
142.2078011,45.00110416,6
142.5311946,45.00110416,5
147.5168444,45.00110416,5
147.7504064,45.00110416,6
141.6867782,44.99212101,5
141.731694,44.99212101,5
142.0550875,44.99212101,6
142.3605147,44.99212101,5
147.4809118,44.99212101,1
147.7414232,44.99212101,6
147.90312,44.99212101,5
141.6867782,44.98313785,3
141.731694,44.98313785,5
142.0550875,44.98313785,5
142.3605147,44.98313785,6
147.4719286,44.98313785,4
147.5797265,44.98313785,5
147.73244,44.98313785,4
