longitude,latitude,value
148.4870249,45.38737973,4872.53
148.6846543,45.38737973,4074.18
140.9860923,45.37839658,4595.65
141.6418624,45.37839658,4180.93
141.731694,45.37839658,4192.54
142.0550875,45.37839658,5247.99
147.8582042,45.37839658,3485.29
148.4600754,45.37839658,1223.42
148.5319407,45.37839658,4047.84
140.9860923,45.36941342,4097.66
141.6598287,45.36941342,4378.91
141.731694,45.36941342,4265.48
142.0550875,45.36941342,4989.55
147.849221,45.36941342,3495.13
147.90312,45.36941342,2724.49
148.4600754,45.36941342,3963.1
148.5319407,45.36941342,3696.98
140.9950754,45.36043027,4274.66
141.6688119,45.36043027,5372.41
141.8844076,45.36043027,4902.24
147.8582042,45.36043027,3942.95
148.4510923,45.36043027,4068.49
148.6846543,45.36043027,4343.39
141.0040586,45.35144712,4298.87
141.6508456,45.35144712,4277.24
141.8844076,45.35144712,4775.67
147.8671873,45.35144712,3943.63
147.90312,45.35144712,1696.97
148.433126,45.35144712,2721.97
148.6846543,45.35144712,4332.92
141.0040586,45.34246397,4590.85
141.6418624,45.34246397,3209.43
141.731694,45.34246397,4317.88
142.0550875,45.34246397,4758.13
147.849221,45.34246397,4278.91
147.90312,45.34246397,2386.47
148.4151597,45.34246397,765.61
148.6846543,45.34246397,4402.81
141.0040586,45.33348081,4622.48
141.6418624,45.33348081,4145.57
141.731694,45.33348081,4695.35
142.0550875,45.33348081,4762.34
147.8671873,45.33348081,4090.57
147.90312,45.33348081,2095.44
148.4061765,45.33348081,3528.92
148.5319407,45.33348081,3570.19
141.0130417,45.32449766,4273.81
141.6418624,45.32449766,3741.24
141.731694,45.32449766,4274.67
142.0550875,45.32449766,4748.33
147.8582042,45.32449766,2186.74
148.3971934,45.32449766,2098.29
141.0130417,45.31551451,3763.59
141.614913,45.31551451,1445.7
141.8844076,45.31551451,4406.02
147.8671873,45.31551451,3744.46
147.90312,45.31551451,4267.92
148.3702439,45.31551451,2870.41
148.5319407,45.31551451,3980.12
141.0220249,45.30653135,2280.89
141.614913,45.30653135,7814.0
141.8844076,45.30653135,4344.11
142.2078011,45.30653135,2974.02
147.8761705,45.30653135,4178.17
148.3522776,45.30653135,2603.37
148.5319407,45.30653135,4132.7
141.031008,45.2975482,3574.93
141.614913,45.2975482,2027.83
141.8844076,45.2975482,4237.99
142.2078011,45.2975482,4157.6
147.8671873,45.2975482,3018.28
147.90312,45.2975482,4553.09
148.3522776,45.2975482,3846.03
148.5319407,45.2975482,4416.43
141.0220249,45.28856505,3487.81
141.614913,45.28856505,2730.53
141.8844076,45.28856505,4097.96
142.2078011,45.28856505,4356.83
147.8761705,45.28856505,4221.08
148.3343113,45.28856505,2273.49
148.5319407,45.28856505,3307.02
141.0220249,45.2795819,4536.97
141.6238961,45.2795819,5329.48
141.731694,45.2795819,4612.16
142.0550875,45.2795819,5362.96
147.8761705,45.2795819,3704.54
148.2804124,45.2795819,63.8678
141.031008,45.27059874,3940.0
141.6059298,45.27059874,2714.92
141.731694,45.27059874,4440.96
142.0550875,45.27059874,5313.9
147.8671873,45.27059874,3537.31
